Sample	DetectionRate	Log2MethIntensity	Log2UnmethIntensity	Restoration	Staining_Green	Staining_Red	Extension_Green	Extension_Red	Hybridization_High/Medium	Hybridization_Medium/Low	Target_Removal_1	Target_Removal_2	Bisulfite_Conversion_I_Green	Bisulfite_Conversion_I_Green_(Bkg)	Bisulfite_Conversion_I_Red	Bisulfite_Conversion_I_Red_(Bkg)	Bisulfite_Conversion_II	Bisulfite_Conversion_II_(Bkg)	Specificity_I_Green	Specificity_I_Red	Specificity_II	Specificity_II_(Bkg)	Non-polymorphic_Green	Non-polymorphic_Red
GSM8461134_207716530108_R01C01	0.9989	10.88	10.726	5.00380450687738	108.532258064516	45.0464646464646	39.9880095923261	25.7516411378556	1.72215645205355	1.97393492719756	11.3145695364238	9.23513513513513	6.44724220623501	4.09712230215827	8.13135593220339	4.14618644067797	9.07902298850575	4.90948275862069	4.77511961722488	2.46952789699571	13.5768321513002	8.07801418439716	11.8942307692308	19.7460674157303
GSM8461135_207716530108_R02C01	0.9991	10.698	11.372	5.49345950459226	90.4396887159533	47.5256673511294	32.1787521079258	27.0321888412017	1.63415982312066	1.98402005326649	8.59569377990431	7.33265306122449	7.52506963788301	5.0041782729805	8.09066901408451	3.4612676056338	6.89289099526066	3.40568720379147	3.57104557640751	2.38131962296487	16.4027237354086	6.99027237354086	7.1972049689441	12.9955156950673
GSM8461136_207716530108_R03C01	0.9975	11.021	10.244	6.38377926421405	103.584	33.5397590361446	37.3248299319728	26.3793706293706	1.72657622829831	1.89213991222237	7.73275862068965	5.97004991680532	7.58620689655172	8.83743842364532	5.5912	3.3152	3.2922502334267	3.35014005602241	3.9409594095941	2.07843137254902	6.39524838012959	7.74946004319654	4.8441127694859	11.8635578583765
GSM8461137_207716530108_R04C01	0.9996	11.725	11.483	5.19873454127121	72.5859649122807	35.0869565217391	36.2389937106918	25.4352159468439	1.67023914968999	1.86519081447216	8.60643564356436	6.57277882797732	7.46461538461538	3.56615384615385	4.77938144329897	2.01185567010309	4.30394736842105	2.2875	5.84741784037559	3.567649281935	19.5534979423868	7.15432098765432	7.07845433255269	12.4006659267481
GSM8461138_207716530108_R05C01	0.9998	12.216	11.806	4.39430326724379	87.6172839506173	45.8217391304348	29.5077452667814	28.8969072164948	1.69224591772999	1.97410604192355	10.3198847262248	8.32790697674419	10.083885209713	3.95253863134658	4.89881796690307	1.78534278959811	4.29693251533742	2.19693251533742	11.0724233983287	4.59753593429158	16.9450726978998	5.78513731825525	8.45766871165644	13.1271102284012
GSM8461139_207716530108_R06C01	0.9993	11.717	11.456	5.56582243250765	93.6450381679389	36.9197431781701	36.7284991568297	31.0047562425684	1.75857734398107	1.92869366799772	8.59569377990431	7.28803245436105	6.72508591065292	3.08676975945017	5.79455298993487	2.27412670219065	5.66195085629188	2.67535368577811	4.71859296482412	3.1385911179173	10.6517006802721	4.88843537414966	6.7632183908046	14.5544041450777
GSM8461140_207716530108_R07C01	0.9997	12.131	11.442	5.0627888013047	75.3353846153846	41.5714285714286	31.2459499263623	27.6568109820486	1.65837999253453	2.00493938033229	7.76160337552743	7.11605415860735	8.84037558685446	3.45446009389671	5.21391386654046	1.8679602460956	4.84	2.07267605633803	8.00737100737101	5.11389521640091	14.0738060781476	5.32416787264834	7.59157509157509	12.991395793499
GSM8461141_207716530108_R08C01	0.9995	11.793	11.401	5.06638655462185	88.3714285714286	50.8530020703934	35.4964912280702	32.6830530401035	1.98448100407056	2.05149617258177	10.1133144475921	9.70108695652174	11.4792207792208	4.63636363636364	11.7480577136515	4.18756936736959	5.71816770186335	2.77173913043478	7.12146892655367	5.67770700636943	18.4556451612903	7.19758064516129	11.5354558610709	16.0628272251309
GSM8461142_207716530127_R01C01	0.9989	11.077	10.7	5.71758335708179	98.0877192982456	41.929203539823	37.3163064833006	27.1036324786325	1.74122059324923	1.97641509433962	9.74722222222222	7.79777777777778	10.9550561797753	6.57116104868914	8.81705948372615	4.41750841750842	7.33948339483395	4.31611316113161	4.47761194029851	4.29338327091136	17.2431077694236	8.79448621553885	9.63760683760684	15.6539682539683
GSM8461143_207716530127_R02C01	0.9992	11.324	11.176	5.49763165227083	83.3428571428571	46.1558185404339	31.9779286926995	28.1571100917431	1.66902237926973	1.91849954805664	8.56563245823389	7.65245202558635	7.33675564681725	3.68480492813142	7.27417998317914	3.2565180824222	5.46425419240953	3.16769638128861	3.75566750629723	2.50446735395189	13.9982788296041	6.17728055077453	8.45562913907285	13.4993252361673
GSM8461144_207716530127_R03C01	0.9982	10.917	10.974	6.32992189604094	77.1495844875346	36.4941860465116	32.3225806451613	25.560861423221	1.71619662625198	2.07975880498835	7.68737060041408	5.13554633471646	7.88036410923277	4.82834850455137	6.25481665630827	2.52827843380982	5.54884547069272	3.29751332149201	3.19121447028424	2.67356687898089	8.77625570776256	5.65144596651446	6.74197689345315	10.7774869109948
