Sample_Name	Channel	Global_metrics	Metric	value
GSM8461134	green	BISULFITE CONVERSION I	BS Conversion I-C1	5377
GSM8461134	green	BISULFITE CONVERSION I	BS Conversion I-C2	8792
GSM8461134	green	BISULFITE CONVERSION I	BS Conversion I-C3	201
GSM8461134	green	BISULFITE CONVERSION I	BS Conversion I-C4	305
GSM8461134	green	BISULFITE CONVERSION I	BS Conversion I-C5	190
GSM8461134	green	BISULFITE CONVERSION I	BS Conversion I-U1	141
GSM8461134	green	BISULFITE CONVERSION I	BS Conversion I-U2	834
GSM8461134	green	BISULFITE CONVERSION I	BS Conversion I-U3	156
GSM8461134	green	BISULFITE CONVERSION I	BS Conversion I-U4	276
GSM8461134	green	BISULFITE CONVERSION I	BS Conversion I-U5	305
GSM8461134	green	BISULFITE CONVERSION II	BS Conversion II-1	309
GSM8461134	green	BISULFITE CONVERSION II	BS Conversion II-2	254
GSM8461134	green	BISULFITE CONVERSION II	BS Conversion II-3	696
GSM8461134	green	BISULFITE CONVERSION II	BS Conversion II-4	393
GSM8461134	green	EXTENSION	Extension (A)	417
GSM8461134	green	EXTENSION	Extension (C)	19118
GSM8461134	green	EXTENSION	Extension (G)	16675
GSM8461134	green	EXTENSION	Extension (T)	325
GSM8461134	green	HYBRIDIZATION	Hyb (High)	18911
GSM8461134	green	HYBRIDIZATION	Hyb (Low)	5563
GSM8461134	green	HYBRIDIZATION	Hyb (Medium)	10981
GSM8461134	green	NON-POLYMORPHIC	NP (A)	404
GSM8461134	green	NON-POLYMORPHIC	NP (C)	4948
GSM8461134	green	NON-POLYMORPHIC	NP (G)	4950
GSM8461134	green	NON-POLYMORPHIC	NP (G) 1	312
GSM8461134	green	NON-POLYMORPHIC	NP (G) 2	313
GSM8461134	green	NON-POLYMORPHIC	NP (G) 3	219
GSM8461134	green	NON-POLYMORPHIC	NP (G) 4	316
GSM8461134	green	NON-POLYMORPHIC	NP (G) 5	194
GSM8461134	green	NON-POLYMORPHIC	NP (T)	416
GSM8461134	green	RESTORATION	Restore	17098
GSM8461134	green	SPECIFICITY I	GT Mismatch 1 (MM)	151
GSM8461134	green	SPECIFICITY I	GT Mismatch 1 (PM)	1787
GSM8461134	green	SPECIFICITY I	GT Mismatch 2 (MM)	190
GSM8461134	green	SPECIFICITY I	GT Mismatch 2 (PM)	5084
GSM8461134	green	SPECIFICITY I	GT Mismatch 3 (MM)	209
GSM8461134	green	SPECIFICITY I	GT Mismatch 3 (PM)	998
GSM8461134	green	SPECIFICITY I	GT Mismatch 4 (MM)	223
GSM8461134	green	SPECIFICITY I	GT Mismatch 4 (PM)	282
GSM8461134	green	SPECIFICITY I	GT Mismatch 5 (MM)	147
GSM8461134	green	SPECIFICITY I	GT Mismatch 5 (PM)	282
GSM8461134	green	SPECIFICITY I	GT Mismatch 6 (MM)	180
GSM8461134	green	SPECIFICITY I	GT Mismatch 6 (PM)	172
GSM8461134	green	SPECIFICITY II	Specificity 1	423
GSM8461134	green	SPECIFICITY II	Specificity 2	202
GSM8461134	green	SPECIFICITY II	Specificity 3	191
GSM8461134	green	STAINING	Biotin (Bkg)	186
GSM8461134	green	STAINING	Biotin (High)	20187
GSM8461134	green	STAINING	Biotin(5K)	NA
GSM8461134	green	STAINING	DNP (Bkg)	271
GSM8461134	green	STAINING	DNP (High)	178
GSM8461134	green	STAINING	DNP(20K)	NA
GSM8461134	green	TARGET REMOVAL	Target Removal 1	302
GSM8461134	green	TARGET REMOVAL	Target Removal 2	370
GSM8461134	red	BISULFITE CONVERSION I	BS Conversion I-C1	372
GSM8461134	red	BISULFITE CONVERSION I	BS Conversion I-C2	667
GSM8461134	red	BISULFITE CONVERSION I	BS Conversion I-C3	9541
GSM8461134	red	BISULFITE CONVERSION I	BS Conversion I-C4	7676
GSM8461134	red	BISULFITE CONVERSION I	BS Conversion I-C5	8501
GSM8461134	red	BISULFITE CONVERSION I	BS Conversion I-U1	312
GSM8461134	red	BISULFITE CONVERSION I	BS Conversion I-U2	324
GSM8461134	red	BISULFITE CONVERSION I	BS Conversion I-U3	645
GSM8461134	red	BISULFITE CONVERSION I	BS Conversion I-U4	605
GSM8461134	red	BISULFITE CONVERSION I	BS Conversion I-U5	944
GSM8461134	red	BISULFITE CONVERSION II	BS Conversion II-1	7754
GSM8461134	red	BISULFITE CONVERSION II	BS Conversion II-2	9979
GSM8461134	red	BISULFITE CONVERSION II	BS Conversion II-3	8089
GSM8461134	red	BISULFITE CONVERSION II	BS Conversion II-4	6319
GSM8461134	red	EXTENSION	Extension (A)	24428
GSM8461134	red	EXTENSION	Extension (C)	914
GSM8461134	red	EXTENSION	Extension (G)	767
GSM8461134	red	EXTENSION	Extension (T)	23537
GSM8461134	red	HYBRIDIZATION	Hyb (High)	1608
GSM8461134	red	HYBRIDIZATION	Hyb (Low)	342
GSM8461134	red	HYBRIDIZATION	Hyb (Medium)	507
GSM8461134	red	NON-POLYMORPHIC	NP (A)	8787
GSM8461134	red	NON-POLYMORPHIC	NP (C)	434
GSM8461134	red	NON-POLYMORPHIC	NP (G)	445
GSM8461134	red	NON-POLYMORPHIC	NP (G) 1	346
GSM8461134	red	NON-POLYMORPHIC	NP (G) 2	551
GSM8461134	red	NON-POLYMORPHIC	NP (G) 3	325
GSM8461134	red	NON-POLYMORPHIC	NP (G) 4	380
GSM8461134	red	NON-POLYMORPHIC	NP (G) 5	334
GSM8461134	red	NON-POLYMORPHIC	NP (T)	9969
GSM8461134	red	SPECIFICITY I	GT Mismatch 1 (MM)	242
GSM8461134	red	SPECIFICITY I	GT Mismatch 1 (PM)	344
GSM8461134	red	SPECIFICITY I	GT Mismatch 2 (MM)	318
GSM8461134	red	SPECIFICITY I	GT Mismatch 2 (PM)	532
GSM8461134	red	SPECIFICITY I	GT Mismatch 3 (MM)	166
GSM8461134	red	SPECIFICITY I	GT Mismatch 3 (PM)	251
GSM8461134	red	SPECIFICITY I	GT Mismatch 4 (MM)	1165
