seqnames	start	end	width	strand	name	thick.start	thick.end	thick.width
chr1	204480507	204527248	46742	*	MDM4	203980507	205027248	1046742
chr2	16075560	16087129	11570	*	MYCN	15575560	16587129	1011570
chr2	121549867	121750229	200363	*	GLI2	121049867	122250229	1200363
chr4	1739326	1808410	69085	*	FGFR3/TACC3	1239326	2308410	1069085
chr4	55090264	55164412	74149	*	PDGFRA	54590264	55664412	1074149
chr5	1253287	1300162	46876	*	TERT	753287	1800162	1046876
chr6	135497453	135540310	42858	*	MYB	134997453	136040310	1042858
chr7	55081725	55275031	193307	*	EGFR	54581725	55775031	1193307
chr7	92234235	92468231	233997	*	CDK6	91734235	92968231	1233997
chr7	116307459	116438440	130982	*	MET	115807459	116938440	1130982
chr7	138552722	140487384	1934663	*	KIAA1549/BRAF	138052722	140987384	2934663
chr8	38279316	38688695	409380	*	FGFR1/TACC1	37779316	39188695	1409380
chr8	67474411	67530480	56070	*	MYBL1	66974411	68030480	1056070
chr8	128743315	128753680	10366	*	MYC	128243315	129253680	1010366
chr9	21967751	22014312	46562	*	CDKN2A/B	21467751	22514312	1046562
chr9	98205264	98275831	70568	*	PTCH1	97705264	98775831	1070568
chr10	89618195	89731687	113493	*	PTEN	89118195	90231687	1113493
chr10	131260454	131565783	305330	*	MGMT	130760454	132065783	1305330
chr11	69450873	69469242	18370	*	CCND1	68950873	69969242	1018370
chr12	4377902	4414522	36621	*	CCND2	3877902	4914522	1036621
chr12	58141510	58151230	9721	*	CDK4	57641510	58651230	1009721
chr12	69196952	69239324	42373	*	MDM2	68696952	69739324	1042373
chr13	48872883	49056026	183144	*	RB1	48372883	49556026	1183144
chr17	7571720	7595868	24149	*	TP53	7071720	8095868	1024149
chr17	29416945	29704695	287751	*	NF1	28916945	30204695	1287751
chr17	58672544	58743640	71097	*	PPM1D	58172544	59243640	1071097
chr19	54164928	54265684	100757	*	C19MC	53664928	54765684	1100757
chr22	24124150	24176705	52556	*	SMARCB1	23624150	24676705	1052556
chr22	29994545	30094589	100045	*	NF2	29494545	30594589	1100045
